frame,elbow_angle,knee_angle,trunk_lean
75,172.02813695946176,178.75614759824438,173.00500499649382
76,172.11933804265828,178.68781417338067,172.63002951196665
77,172.43483244217845,177.80995338651738,172.0291322409485
78,172.93127760118654,176.740119823142,171.39287381007117
79,173.97531887126775,175.12816136218208,170.8764777707401
80,174.73736501123648,172.29302978230976,170.55282346510313
81,175.4579691074186,170.0029398060853,170.36299414035614
82,176.07999900953257,168.6792700369,170.38962782570314
83,176.45873319777655,167.40067167591832,170.4590617156842
84,176.45219720675317,166.92569862412262,170.56166688300397
85,175.93775207564812,168.21659942056968,170.7404058122017
86,174.9376888408088,168.85919931011455,170.88550149409278
87,173.42025061980317,169.30299130492713,170.98239619727744
88,171.2521175168039,169.90472240080612,171.18169758919097
89,169.23023705517798,170.7748686366039,171.37703442860808
90,167.94327782651678,171.52639484706054,171.66155666215747
91,166.86445439812385,172.89145068189805,172.04135769054437
92,166.0479324162151,174.31209944963845,172.42778737676616
93,165.83074064001477,175.5334289968137,172.70276334561694
94,165.29763575557917,176.28934355867972,172.89503214329636
95,164.28801714671283,176.46982496113256,172.86145773956352
96,163.18689099846023,176.07557230987632,172.73003321070848
97,162.24933662569111,175.57740950277176,172.54940727735047
98,161.03494101907665,174.8266715763444,172.3639865656193
99,160.29025356549604,174.14522459133883,172.16718807458588
100,159.83292620029633,173.65219184336425,172.02438468197283
101,159.9507464143472,173.35361880911896,171.89161326541307
102,160.00208258543574,172.93817288037047,171.75729016816524
103,160.71261368941515,172.66876043659806,171.5932044066572
104,161.36749982116848,172.29566401403218,171.44510361385434
105,161.7516840577213,172.0726382287306,171.29654862871234
106,161.44085851777612,171.97123120193586,171.1578425224289
107,161.34887428807139,171.98537365860489,171.01552383333518
108,160.74799212083067,172.7616719223156,170.86949643769557
109,160.19964796792598,173.56566677129632,170.74793597614556
110,159.79310298434356,174.57218074879458,170.5461673685705
111,159.99910282367813,175.65556160917012,170.29052056102068
112,160.63622550432814,176.82804901652312,169.92529714189678
113,161.5520793682062,177.45197141338664,169.58571703185856
114,164.39392396016976,177.54642381649836,169.43088618740734
115,165.2243070436342,177.17757469801617,169.38903382642644
116,165.83159054672961,176.30239459677824,169.41445885947402
117,166.10103690831784,173.51848908376837,169.54637567214317
118,165.7674573074629,170.40684933362428,169.72546122808177
119,165.53844039198094,163.09503365472074,169.9606069782631
120,167.23625884611943,158.36806991390716,169.9051863257959
121,170.15598792426476,152.47321598026411,169.51358052232928
122,170.45775247999617,150.91027389319964,169.23145759356566
123,171.1063537021756,151.4270996048095,168.87313490904052
124,172.0742202305134,157.7187472121103,168.53032975319775
125,172.60152806604142,162.39706249198878,168.0510276172327
126,171.51703670503778,169.50736437604357,167.15025517030796
127,173.1861554988376,172.89403574272328,166.63907351701513
128,171.32657231069868,172.12695256887847,166.31778970969884
129,169.3430226305946,169.4746238931828,164.58130623899555
130,161.59773429069028,163.86933429751429,163.81020302617966
131,157.70255757892954,156.66363201582277,163.48583537245244
132,154.30372284947188,151.63775027066896,162.45151859794353
133,150.27775310971666,149.4686758848711,161.30569834305942
134,144.34129108270525,148.1274700104776,160.81204316382968
135,146.02028542964163,149.0610541065789,159.32331725050864
136,141.90038288344343,149.5196685587729,157.57065428322835
137,136.2570040073146,148.13618560455564,155.97059812125121
138,134.59044227920168,145.9527237061468,154.09556653847898
139,134.62045936114473,143.50762407812584,152.8993842798378
140,135.18750838222965,141.54566790972143,152.0033307783485
141,138.88619755097562,140.64134737961984,151.69359081616517
142,146.39147899420934,140.16883207373198,151.45372722716448
143,153.26673291881684,140.34587978208168,151.04941829498065
144,159.6101944093441,140.79879803137356,150.26841392996593
145,162.15607015542793,144.74202798275127,149.38488984049772
146,165.67256784275872,145.05642254995544,148.70605140598195
147,164.08705435030103,147.90176318055939,148.15021503327694
148,163.531046859627,149.237298124733,147.25023527725278
149,160.6377533774849,153.63821863627624,145.99144513193215
150,160.92014009706816,153.10031436427795,145.16844343030053
151,154.68494109850354,155.70736939327577,144.2166870681313
152,146.7665157566276,156.1235155791395,143.8979387455459
153,138.97964174696835,157.44197952960235,144.45130604516396
154,134.19103421461142,155.16648452428325,145.68880806694247
155,128.35809348587787,153.67422284529567,146.7475222256956
156,128.52627728597076,152.8293860597077,147.7436549576771
157,132.9651962109562,151.79731730904356,148.17422332395142
158,137.84851369833305,150.51871955169338,148.57937710052218
159,141.64676000235568,149.964437860337,148.82345384805217
160,145.5552044309383,149.16452906355042,149.10670943731017
161,147.9503250813686,148.47057994453135,149.46436594624507
162,149.44810628666465,147.87677455493093,149.71308340207628
163,150.19287475141556,149.81273312356416,149.9961151033025
164,149.98500425515715,151.31359297571777,150.394042023134
165,150.04951805795957,151.08019262747035,150.7613229299365
166,151.61584544766612,155.63275116172343,151.10898010987415
167,154.9663745931312,156.87684891301464,151.4573303115011
168,156.84322994782562,154.7661164450507,151.74245240885975
169,162.71814292801713,158.4718251434638,151.85890085585237
170,166.20020852596932,162.58874585658984,152.20970019859323
171,167.2881400997933,162.65892312665574,152.43193095352535
172,163.3106092327119,163.09747947944194,153.2276700555718
173,158.30891520643087,164.45869197359917,154.24819957935162
174,146.75720403574704,159.94380105505465,155.47694122527463
175,137.9846168438076,157.3773203057795,156.74353808888648
176,135.50829248057948,153.63130932504083,158.30150565303438
177,136.52942357853036,150.1069328020197,159.3485566008364
178,138.6748278942253,145.76872182232296,160.40646897600354
179,145.5180950308561,147.70324274801607,161.252134535837
180,150.2539005893434,149.7315883436699,162.05333175064646
181,151.40595513273374,152.40068474644275,162.9306931844655
182,151.75976109238644,156.0813099755449,163.90201931579048
183,155.1026120817507,159.66515319065675,164.54928499224727
184,156.42406488152432,154.79205723427862,165.67517814947666
185,159.62809848680857,149.13047991739205,166.9287192643389
186,161.93255164337586,143.8419281363148,168.38656394593926
187,165.55714844571784,139.85344522921278,169.67822529975965
