frame,elbow_angle,knee_angle,trunk_lean
1,168.29844918103467,178.74941657742298,174.64891735648237
2,168.83272911031122,178.04718660443368,174.90611200017378
3,168.81288730435116,177.1902143243257,175.14826314209313
4,168.280762414384,177.02251757523513,175.3204218092006
5,167.76376621211529,176.91874338774377,175.44044499487643
6,167.34101198797347,176.41501417542963,175.58277157527866
7,166.7780276476248,176.21765547857933,175.59257034511546
8,166.25452446084623,176.33941165282235,175.4987916901255
9,166.11345095544988,176.27915439354754,175.33735791498037
10,166.26733785088177,176.0735552808502,175.15081982705746
11,166.37752418795236,175.87064013035172,175.0526996551917
12,166.53058611182652,175.6927970459788,174.95154197563073
13,166.97684561333193,175.6872157060443,174.84825380152836
14,167.4363099384683,175.6729266226295,174.7699420704569
15,167.81191105053296,175.70594832098996,174.7060445659803
16,168.09331574362776,175.79716177441273,174.60357852907154
17,168.31100744634486,175.6630151163422,174.58096462883796
18,168.44472407219985,175.46980265942435,174.48657902537178
19,168.6975629519774,175.33388827807977,174.35001860901338
20,168.97129033035333,175.26168590895233,174.2019482842346
21,169.23835802839503,175.0300690058613,174.1331641585016
22,169.2869920343754,174.8609154375674,173.99470395888795
23,169.1085997958278,174.5944199689114,173.94325400351244
24,168.47233356680783,174.29114504743984,173.902590331383
25,167.7681168295994,174.03109855842246,173.91897206489682
26,167.2495892628272,174.09506815606068,174.02102039235433
27,167.24184616805158,174.08465847485058,174.1538494388745
28,167.17619804256793,173.75081488067545,174.2537056305682
29,167.42216232579213,173.3314033575522,174.41348846719285
30,167.41545908598792,173.03101915900382,174.56414422732377
31,166.94241636666396,172.88820885435683,174.54255646083035
32,166.06235145091745,173.1034850238714,174.54962463603803
33,165.44514120701726,173.81703738450574,174.66501129553885
34,165.10570669496965,174.7941112440989,174.83676099142693
35,165.04193438182926,175.64928798263168,174.95888040589824
36,165.65617581306995,176.16550977391046,175.0624203083008
37,166.66609506555932,176.52942105193407,175.05696262914108
38,167.68655451487788,176.6470542546429,174.8947824965351
39,168.58226203761913,176.29867914320022,174.6311761146544
40,169.30966042820597,175.8067743931384,174.3082131267418
41,169.63148444571462,175.22297225915275,174.05301402837196
42,169.62589975876313,174.58903364744032,173.85225697780726
43,169.38986924266413,173.85575241696444,173.6821499165101
44,168.9583052867274,173.42842197059161,173.56620597613528
45,168.69999260007293,173.10153364819422,173.5370395077238
46,168.4842661116109,172.93625770478843,173.54903216730048
47,168.28255570655605,172.89326290692438,173.63572320690145
48,168.2771884091384,173.11223883896247,173.792998192108
49,168.40444694498737,173.35031659655533,173.91004840218517
50,168.58331696162182,173.6462282511607,174.00772552023327
51,168.70414182585813,173.89169985273094,174.0722536440407
52,168.8694582090888,173.97782979516634,174.04691472561666
53,168.94454040543968,173.87866668032171,173.99811039973966
54,168.9293421554537,173.64000938330773,173.969304565223
55,168.70720681590288,173.3842137638924,173.94827636408564
56,168.47830151531096,173.1279583436904,173.95575778171954
57,168.0350676704615,172.95867072511237,173.9998739440077
58,167.5046215760463,172.95605703870393,174.05264672074958
59,167.21691676085257,173.03794320811969,174.09516258426595
60,167.23730234174303,173.1057688168916,174.13210886059517
61,167.3907161305251,173.11738893454017,174.1500811143847
62,167.73760344388285,173.07563473173246,174.15861098494707
63,168.2095248798842,173.0212226102205,174.1591402580713
64,168.6623820570663,172.89943939249025,174.0990110759064
65,169.16610252792913,172.8144109037067,174.01530751462195
66,169.6977968448959,172.8177518514862,173.90799701207087
67,170.3840191341926,172.80985993792396,173.7451197643622
68,171.11258800977083,173.22654017860873,173.56471755485097
69,171.69984771340546,174.29549689932279,173.42802757761328
70,172.08923639282565,175.40829193039866,173.31435388836138
71,172.40173387644077,176.43879343146054,173.23819980190976
72,172.4698919489067,177.62729550799787,173.2532540165791
73,172.51586615490217,178.50054675343495,173.29004900990498
74,172.07412514473344,178.7084777709727,173.2507059525315
